FirstName,LastName,Username,Password,OU
Dinusha,Perera,dperera,P@ssw0rd!,Users
Priyantha,Fernando,pfernando,P@ssw0rd!,Users
Lakshitha,Silva,lsilva,P@ssw0rd!,Users
Chaminda,Bandara,cbandara,P@ssw0rd!,Users
Anjali,Rathnayake,arathnayake,P@ssw0rd!,Users
Sandun,Weerasinghe,sweerasinghe,P@ssw0rd!,Users
Niroshan,Fonseka,nfonseka,P@ssw0rd!,Users
Tharindu,Jayawardena,tjayawardena,P@ssw0rd!,Users
Dulari,Wickramasinghe,dwickramasinghe,P@ssw0rd!,Users
Kasun,Rajapaksa,krajapaksa,P@ssw0rd!,Users
Shamila,Gunawardena,sgunawardena,P@ssw0rd!,Users
Isuru,Zoysa,izoysa,P@ssw0rd!,Users
Sithara,Abeywickrama,sabeywickrama,P@ssw0rd!,Users
Ruwan,Dissanayake,rdissanayake,P@ssw0rd!,Users
Maheshi,Peiris,mpeiris,P@ssw0rd!,Users
Vijay,Kumar,vkumar,P@ssw0rd!,Users
Kavitha,Rajendran,krajendran,P@ssw0rd!,Users
Suresh,Chandran,schandran,P@ssw0rd!,Users
Meena,Pathmanathan,mpathmanathan,P@ssw0rd!,Users
Arjun,Sivarajah,asivarajah,P@ssw0rd!,Users
